,Exchange,Coin,Pair,Volume
568,Bittrex,Swarm city,SWT/BTC,1980
569,Okex,Swftcoin,SWFTC/BTC,77201
570,Kucoin,Swissborg,CHSB/BTC,11324
571,Bittrex,Syndicate,SYNX/BTC,7404
572,Bittrex,Synereo,AMP/BTC,18714
573,Binance,Syscoin,SYS/BTC,323399
574,Hitbtc,Taas,TAAS/BTC,2835
575,Hitbtc,Target coin,TGT/BTC,52
576,Hitbtc,Tatatu,TTU/BTC,51301
577,Hitbtc,Tcoin,TCN/BTC,56141
578,Kucoin,Te-food,TFD/BTC,27895
579,Kucoin,Telcoin,TEL/BTC,213552
580,Okex,Tenx,PAY/BTC,164276
581,Bitfinex,Tezos,XTZ/BTC,265894
582,Hitbtc,The abyss,ABYSS/BTC,2051
583,Kucoin,Thekey,TKY/BTC,124383
584,Hitbtc,Themis,GET/BTC,159
585,Binance,Theta token,THETA/BTC,229219
586,Binance,Tierion,TNT/BTC,441185
587,Binance,Time new bank,TNB/BTC,173139
588,Hitbtc,Tokencard,TKN/BTC,1
589,Okex,Tokenclub,TCT/BTC,2195
590,Hitbtc,Tokendesk,TDS/BTC,14101
591,Bittrex,Tokes,TKS/BTC,365
592,Hitbtc,Tokia,TKA/BTC,240
593,Kucoin,Tomochain,TOMO/BTC,55732
594,Okex,Topchain,TOPC/BTC,21452
595,Kucoin,Trade token,TIO/BTC,10112
596,Hitbtc,Tradove b2bcoin,BBC/BTC,1581
597,Bittrex,Transfercoin,TX/BTC,19281
598,Kucoin,Traxia,TMT/BTC,63615
599,Binance,Triggers,TRIG/BTC,873839
600,Kucoin,Trinity network credit,TNC/BTC,2292
601,Okex,Tripio,TRIO/BTC,28036
602,Okex,Tron,TRX/BTC,9000259
603,Okex,Truechain,TRUE/BTC,53811
604,Kucoin,Trueflip,TFL/BTC,179422
605,Binance,Trueusd,TUSD/BTC,4423597
606,Bittrex,Trustplus,TRUST/BTC,4177
607,Hitbtc,U network,UUU/BTC,21
608,Bittrex,Ubiq,UBQ/BTC,313626
609,Okex,Ubique chain of things,UCT/BTC,31506
610,Okex,Ugchain,UGC/BTC,33970
611,Kucoin,Ulord,UT/BTC,16252
612,Bittrex,Unbreakablecoin,UNB/BTC,10830
613,Bittrex,Unikoin gold,UKG/BTC,7177
614,Hitbtc,United traders token,UTT/BTC,1
615,Bittrex,Uptoken,UP/BTC,8500
616,Kucoin,Usechain token,USE/BTC,4947
617,Kucoin,Utrust,UTK/BTC,18946
618,Binance,Vechain,VET/BTC,2365754
619,Binance,Verge,XVG/BTC,2547793
620,Bittrex,Vericoin,VRC/BTC,6494
621,Hitbtc,Veritaseum,VERI/BTC,5275
622,Bittrex,Veriumreserve,VRM/BTC,516
623,Bittrex,Vertcoin,VTC/BTC,63871
624,Binance,Viacoin,VIA/BTC,191587
625,Binance,Vibe,VIBE/BTC,913983
626,Binance,Viberate,VIB/BTC,853446
627,Hitbtc,Vice industry token,VIT/BTC,286
628,Okex,Vite,VITE/BTC,219792
629,Okex,Viuly,VIU/BTC,1244
630,Hitbtc,Voise,VOISE/BTC,43
631,Hitbtc,Vouchforme,IPL/BTC,199546
632,Binance,Wabi,WABI/BTC,157056
633,Binance,Waltonchain,WTC/BTC,802352
634,Binance,Wanchain,WAN/BTC,1903043
635,Binance,Waves,WAVES/BTC,397143
636,Bittrex,Wax,WAX/BTC,145968
637,Binance,Wepower,WPR/BTC,235799
638,Hitbtc,Wetrust,TRST/BTC,179
639,Bittrex,Whitecoin,XWC/BTC,3337
640,Hitbtc,Wiki token,WIKI/BTC,44909
641,Hitbtc,Wild crypto,WILD/BTC,0
642,Binance,Wings,WINGS/BTC,273826
643,Okex,Wintoken,WIN/BTC,252
644,Hitbtc,Worldcore,WRC/BTC,0
645,Hitbtc,Xaurum,XAUR/BTC,1264
646,Binance,Xrp,XRP/BTC,70537674
647,Okex,Yee,YEE/BTC,46194
648,Okex,You coin,YOU/BTC,449
649,Binance,Yoyow,YOYO/BTC,472455
650,Hitbtc,Yuan chain coin,YCC/BTC,14788
651,Hitbtc,Zap,ZAP/BTC,321
652,Hitbtc,Zcash,ZEC/BTC,9736749
653,Bittrex,Zclassic,ZCL/BTC,176981
654,Binance,Zcoin,XZC/BTC,133828
655,Okex,Zebi,ZCO/BTC,222445
656,Kucoin,Zeepin,ZPT/BTC,12521
657,Hitbtc,Zeusshield,ZSC/BTC,60
658,Binance,Zilliqa,ZIL/BTC,7196626
659,Kucoin,Zinc,ZINC/BTC,763
660,Okex,Zipper,ZIP/BTC,706315
661,Hitbtc,Zrcoin,ZRC/BTC,31188
